#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC3182                 | UGC05568,SDSSJ101933.03+581220.6,SDSSJ101933.02+581220.8,SDSSJ101933.02+581220.6,SDSSJ101933.02+581220.5,PGC030176,NGC3182,MCG+10-15-062,CGCG290-027,2MASXJ10193301+5812209                                                                                          |     30176 |  32.66 |    NaN |   10.32584 |   58.20577 |     2099 |        3 |     2073 |        7 |     2329 |  145.1 |   36.6 |     0.08 |     0.05 | S0-a  |      | R     |           |             |   0.3 |   1.4 |     1.28 |     0.06 | 126.70 |   6.72 | 212.29 |  12.27 |  16.89 |   0.09 |    NaN |   0.05 |  12.93 |    NaN |    NaN |  11.77 |
  NGC3301                 | UGC05767,SDSSJ103656.03+215255.5,PGC031497,NGC3301,MCG+04-25-035,LGG194:[G93]012,IRAS10341+2208,CGCG124-045,2MASXJ10365603+2152557                                                                                                                                   |     31497 |  31.64 |    NaN |   10.61556 |   21.88211 |     1339 |        2 |     1347 |        6 |     1433 |   53.0 |   90.0 |     0.53 |     0.06 | S0-a  | B    | R     |           |             |  -0.4 |   1.0 |     1.56 |     0.04 | 111.01 |   5.77 | 111.01 |    NaN |  18.09 |   0.14 |    NaN |   0.10 |  12.10 |   0.27 |   0.76 |    NaN |
  IC0676                  | UGC06245,SDSSJ111239.81+090321.0,SDSSJ111239.81+090320.9,SDSSJ111239.80+090321.0,PGC034107,MRK0731,MCG+02-29-009,IRAS11100+0919,IC0676,CGCG067-032,ALFALFA5-472,AGC006245,2MASXJ11123981+0903206                                                                     |     34107 |  31.64 |    NaN |   11.21106 |    9.05578 |     1416 |        3 |     1422 |        4 |     1461 |    0.1 |   51.4 |     0.15 |     0.03 | S0-a  | B    | R     |           |             |  -1.2 |   0.7 |     1.27 |     0.04 |  79.43 |   3.05 | 101.65 |   4.00 |  16.98 |   0.21 |  12.00 |   0.11 |  13.39 |    NaN |    NaN |  12.24 |
  NGC3796                 | UGC06638,SDSSJ114031.12+601756.0,PGC036215,NGC3796,MCG+10-17-039,CGCG292-018,2MASXJ11403114+6017562                                                                                                                                                                  |     36215 |  31.70 |    NaN |   11.67531 |   60.29892 |     1235 |        6 |     1234 |        7 |     1486 |  126.3 |   71.2 |     0.22 |     0.06 | E-S0  |      |       |           |             |  -3.0 |   1.7 |     1.16 |     0.08 |  84.58 |   7.52 |  89.34 |   8.06 |    NaN |    NaN |    NaN |   0.06 |  13.24 |    NaN |    NaN |  11.80 |
  NGC4078                 | UGC07066,PGC038238,NGC4078,MCG+02-31-023,EVCC2022,CGCG069-043,2MASXJ12044762+1035439                                                                                                                                                                                 |     38238 |  32.91 |    NaN |   12.07990 |   10.59561 |     2559 |       25 |      NaN |      NaN |     2631 |   17.2 |   82.0 |     0.31 |     0.03 | S0    |      |       |           |             |  -2.0 |   0.4 |     1.07 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.11 |  13.62 |    NaN |    NaN |  12.29 |
  NGC4623                 | VCC1913,UGC07862,SDSSJ124210.68+074037.1,PGC042647,NGC4623,MCG+01-32-135,LGG296:[G93]008,EVCC2208,EONJ190.545+07.677,EGISJ124210.7+074037,CGCG042-207,2MASXJ12421070+0740369                                                                                         |     42647 |  32.16 |  31.17 |   12.70297 |    7.67698 |     1788 |       37 |      NaN |      NaN |     1859 |  175.4 |   90.0 |     0.48 |     0.03 | S0-a  | B    |       |           |             |  -1.5 |   1.7 |     1.35 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.10 |  13.02 |    NaN |    NaN |  11.77 |
  NGC4733                 | [TH2002]030,VCC2087,UGC07997,PGC043516,NGC4733,MCG+02-33-028,LGG292:[G93]031,EVCC2233,CGCG071-054,2MASXJ12510678+1054435                                                                                                                                             |     43516 |  30.87 |  30.82 |   12.85188 |   10.91209 |      928 |       10 |      NaN |      NaN |     1018 |    NaN |   27.2 |     0.03 |     0.03 | E     | B    |       |           |             |  -3.6 |   1.3 |     1.29 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.09 |  12.51 |   0.29 |   0.82 |  11.13 |
  NGC6010                 | UGC10081,PGC056337,NGC6010,MCG+00-40-013,EONJ238.580+00.543,EGISJ155419.2+003235,CGCG022-048,AGC010081,2MIG2171,2MFGC12764,2MASXJ15541914+0032349                                                                                                                    |     56337 |  32.47 |  32.33 |   15.90533 |    0.54304 |     2038 |        3 |     2038 |        4 |     2123 |  100.1 |   90.0 |     0.66 |     0.04 | S0-a  |      |       |           |             |   0.3 |   0.8 |     1.26 |     0.06 | 148.33 |   5.13 | 148.33 |    NaN |  17.63 |   0.12 |    NaN |   0.45 |  12.40 |    NaN |    NaN |  10.85 |
  NGC6014                 | UGC10091,PGC056413,NGC6014,MCG+01-41-002,IRAS15535+0604,CGCG051-007,2MASXJ15555738+0555546                                                                                                                                                                           |     56413 |  32.91 |    NaN |   15.93261 |    5.93183 |     2487 |       14 |     2491 |       13 |     2598 |   20.0 |   41.2 |     0.09 |     0.06 | S0    | B    |       |           |             |  -1.8 |   1.1 |     1.24 |     0.07 |  65.39 |   4.07 |  99.20 |   6.66 |  17.72 |   0.42 |  12.99 |   0.22 |  13.45 |    NaN |    NaN |    NaN |
  NGC4486A                | [TH2002]022,[RG2008]J187.74046+12.27036,VCC1327,UGC07658,PGC041377,NGC4486A,MCG+02-32-110,LGG288:[G93]011,EVCC2146,CGCG070-141,ARK372,2MASXJ12305772+1216132                                                                                                         |     41377 |  30.50 |  31.29 |   12.51603 |   12.27046 |      757 |        6 |      NaN |      NaN |      846 |   25.0 |   39.4 |     0.05 |     0.04 | E     |      |       |           | C           |  -5.0 |   0.4 |     0.96 |     0.09 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.10 |  12.62 |    NaN |    NaN |  11.14 |
  NGC7457                 | UGC12306,PGC070258,NGC7457,MCG+05-54-026,CGCG496-032,2MASXJ23005996+3008412,2MASXJ23005993+3008416                                                                                                                                                                   |     70258 |  30.78 |  30.77 |   23.01665 |   30.14489 |      813 |        6 |      NaN |      NaN |      958 |  128.3 |   73.4 |     0.24 |     0.05 | E-S0  |      |       |           |             |  -2.7 |   0.6 |     1.60 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.23 |  11.63 |   0.30 |   0.81 |    NaN |
  NGC7454                 | UGC12305,PGC070264,NGC7454,MCG+03-58-020,LGG469:[G93]002,CGCG453-045,2MASXJ23010651+1623181                                                                                                                                                                          |     70264 |  32.43 |  31.87 |   23.01847 |   16.38836 |     2008 |        9 |      NaN |      NaN |     2091 |  140.3 |   90.0 |     0.31 |     0.03 | E     |      |       |           |             |  -4.8 |   0.7 |     1.19 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.33 |  12.46 |   0.28 |   0.87 |    NaN |
  NGC6703                 | UGC11356,PGC062409,NGC6703,MCG+08-34-020,CGCG255-014,2MASXJ18471884+4533023                                                                                                                                                                                          |     62409 |  32.84 |  32.11 |   18.78857 |   45.55056 |     2297 |       37 |     2264 |        6 |     2554 |    NaN |   13.4 |     0.01 |     0.04 | E-S0  |      |       |           |             |  -2.8 |   0.6 |     1.39 |     0.06 |  76.22 |   3.13 | 328.90 |  27.76 |  17.33 |   0.39 |    NaN |   0.37 |  11.98 |   0.47 |   0.90 |    NaN |
  NGC5485                 | UGC09033,SDSSJ140711.35+550005.8,SDSSJ140711.34+550006.1,SDSSJ140711.34+550005.9,SDSSJ140711.33+550006.2,PGC050369,NGC5485,MCG+09-23-037,LGG373:[G93]005,CGCG272-030,2MASXJ14071131+5500054                                                                          |     50369 |  32.51 |  32.05 |   14.11982 |   55.00163 |     1904 |        2 |      NaN |      NaN |     2171 |  170.2 |   54.6 |     0.16 |     0.03 | S0    |      |       |           |             |  -2.0 |   0.6 |     1.40 |     0.03 |  75.40 |   5.02 |  92.52 |   6.25 |  15.64 |   0.39 |    NaN |   0.07 |  12.30 |   0.48 |   0.85 |  10.82 |
  NGC5473                 | UGC09011,SDSSJ140443.23+545333.4,PGC050191,NGC5473,MCG+09-23-031,LGG373:[G93]004,CGCG272-022,2MASXJ14044324+5453334                                                                                                                                                  |     50191 |  32.51 |    NaN |   14.07867 |   54.89256 |     1893 |       63 |     1835 |       12 |     2159 |  155.8 |   47.7 |     0.11 |     0.03 | E-S0  | B    |       |           |             |  -2.6 |   0.7 |     1.30 |     0.03 | 116.86 |   7.78 | 157.96 |  10.76 |  17.47 |   0.39 |    NaN |   0.05 |  12.30 |   0.50 |   0.86 |    NaN |
  NGC5422                 | UGC08935,SDSSJ140042.02+550951.9,PGC049874,NGC5422,MCG+09-23-024,LGG373:[G93]001,EONJ210.175+55.164,EGISJ140042.0+550952,CGCG272-016,2MFGC11330,2MASXJ14004206+5509521                                                                                               |     49874 |  32.47 |    NaN |   14.01168 |   55.16445 |     1859 |       16 |     1869 |        8 |     2125 |  152.8 |   90.0 |     0.68 |     0.03 | S0-a  | B    |       |           |             |  -1.4 |   0.8 |     1.45 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.06 |  12.73 |   0.33 |   0.90 |  11.23 |
  NGC5353                 | UGC08813,SDSSJ135326.72+401659.4,PGC049356,NGC5353,MCG+07-29-010,LGG363:[G93]002,HCG068A,CGCG219-018,2MASXJ13532674+4016592                                                                                                                                          |     49356 |  32.77 |    NaN |   13.89076 |   40.28314 |     2238 |       17 |     2307 |       12 |     2464 |  152.4 |   81.9 |     0.30 |     0.03 | S0    |      |       | M         |             |  -2.1 |   0.9 |     1.38 |     0.03 | 133.89 |   9.87 | 135.25 |  10.03 |  14.55 |   0.34 |    NaN |   0.06 |  11.91 |   0.57 |   0.91 |    NaN |
  NGC5322                 | UGC08745,SDSSJ134915.25+601126.0,PGC049044,NGC5322,MCG+10-20-035,LGG360:[G93]003,CGCG295-017,2MASXJ13491520+6011254                                                                                                                                                  |     49044 |  32.42 |  32.45 |   13.82090 |   60.19048 |     1801 |        4 |      NaN |      NaN |     2074 |   95.0 |   90.0 |     0.21 |     0.06 | E     |      |       |           |             |  -4.8 |   0.4 |     1.75 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.06 |  10.96 |   0.47 |   0.88 |    NaN |
  NGC5582                 | UGC09188,SDSSJ142043.11+394136.9,PGC051251,NGC5582,MCG+07-29-063,CGCG220-003,CGCG219-070,2MASXJ14204312+3941369                                                                                                                                                      |     51251 |  31.92 |  32.25 |   14.34531 |   39.69359 |     1436 |       60 |      NaN |      NaN |     1666 |   24.0 |   90.0 |     0.20 |     0.03 | E     |      | R     |           |             |  -4.8 |   0.6 |     1.34 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.06 |  12.43 |    NaN |   0.84 |    NaN |
  NGC5813                 | UGC09655,SDSSJ150111.23+014207.1,PGC053643,NGC5846:[MTT2005]064,NGC5813,MCG+00-38-016,LGG393:[G93]001,CGCG020-045,2MASXJ15011126+0142070                                                                                                                             |     53643 |  32.38 |  32.52 |   15.01980 |    1.70200 |     1956 |        7 |      NaN |      NaN |     2037 |  143.1 |   90.0 |     0.18 |     0.03 | E     |      |       |           |             |  -4.9 |   0.4 |     1.62 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.25 |  11.25 |   0.50 |   0.92 |    NaN |
  NGC5845                 | UGC09700,SDSSJ150600.78+013801.7,PGC053901,NGC5846:[ZM98]0006,NGC5846:[MTT2005]184,NGC5846:[CMI2006]F02-4004,NGC5845,MCG+00-38-024,LGG392:[G93]006,CGCG020-059,ARK468,2MASXJ15060078+0138017                                                                         |     53901 |  31.75 |  32.57 |   15.10021 |    1.63391 |     1450 |        9 |      NaN |      NaN |     1532 |  152.0 |   72.1 |     0.15 |     0.03 | E     |      |       |           |             |  -4.9 |   0.3 |     1.00 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.23 |  13.19 |   0.72 |   0.95 |  11.16 |
  NGC5846                 | UGC09706,SDSSJ150629.28+013620.2,SDSSJ150629.16+013620.9,PGC053932,NGC5846:[ZM98]0001,NGC5846:[MTT2005]202,NGC5846,MCG+00-38-025,LGG393:[G93]003,GIN797,CGCG020-061,2MASXJ15062929+0136193,2MASXJ15062925+0136202                                                    |     53932 |  32.16 |  31.96 |   15.10813 |    1.60619 |     1749 |       32 |     1824 |       12 |     1831 |    NaN |   25.0 |     0.02 |     0.03 | E     |      |       | M         |             |  -4.8 |   0.7 |     1.63 |     0.03 | 177.72 |   6.08 | 420.04 |  18.94 |  16.46 |   0.25 |    NaN |   0.24 |  10.83 |   0.43 |   0.94 |  10.30 |
  NGC5866                 | UGC09723,PGC053933,NGC5866,MESSIER102,MCG+09-25-017,LGG396:[G93]001,IRAS15051+5557,EONJ226.622+55.763,EGISJ150629.4+554547,CGCG274-016,2MASXJ15062956+5545479                                                                                                        |     53933 |  30.78 |  30.80 |   15.10820 |   55.76322 |      674 |       10 |      NaN |      NaN |      950 |  126.5 |   90.0 |     0.36 |     0.06 | S0-a  | B    |       | M         |             |  -1.3 |   0.6 |     1.80 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  11.04 |   0.06 |  10.67 |   0.33 |   0.78 |   9.20 |
  NGC5869                 | [FN2007]2050,UGC09742,SDSSJ150949.42+002812.3,PGC054119,NGC5869,MCG+00-39-006,LGG393:[G93]008,KPG456B,CGCG021-022,2MASXJ15094945+0028118                                                                                                                             |     54119 |  32.51 |  31.98 |   15.16372 |    0.47010 |     2074 |       16 |      NaN |      NaN |     2151 |  113.8 |   61.5 |     0.19 |     0.02 | S0    |      |       |           |             |  -2.2 |   0.9 |     1.34 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.24 |  12.88 |   0.45 |   0.87 |  10.67 |
  NGC5308                 | UGC08722,SDSSJ134700.43+605823.3,PGC048860,NGC5308,MCG+10-20-029,LGG360:[G93]004,EONJ206.752+60.973,EGISJ134700.4+605823,CGCG295-012,2MFGC11118,2MASXJ13470039+6058229                                                                                               |     48860 |  32.62 |  32.27 |   13.78345 |   60.97306 |     2014 |       28 |      NaN |      NaN |     2288 |   60.0 |   90.0 |     0.88 |     0.05 | S0    | B    |       |           |             |  -2.1 |   1.4 |     1.64 |     0.04 | 140.12 |   9.33 | 140.12 |    NaN |  17.53 |   0.39 |    NaN |   0.08 |  12.13 |    NaN |   0.81 |  10.80 |
  NGC4638                 | [TH2002]020,[RG2008]J190.69760+11.44251,VCC1938,UGC07880,SDSSJ124247.42+112632.9,PGC042728,NGC4667,NGC4638,MCG+02-32-187,LGG292:[G93]025,EVCC2211,EONJ190.698+11.442,EGISJ124247.4+112633,CGCG071-006,CGCG070-229,2MASXJ12424743+1126328                             |     42728 |  31.32 |  31.18 |   12.71317 |   11.44249 |     1163 |       11 |      NaN |      NaN |     1253 |  123.3 |   61.8 |     0.19 |     0.03 | E-S0  | B    |       | M         |             |  -2.6 |   0.7 |     1.36 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.11 |  11.94 |   0.40 |   0.89 |  10.60 |
  NGC4621                 | [TH2002]008,[RG2008]J190.50940+11.64691,VCC1903,UGC07858,SDSSJ124202.25+113848.8,PGC042628,NGC4621,MESSIER059,MCG+02-32-183,M59,EVCC2207,CGCG070-223,2MASXJ12420232+1138489                                                                                          |     42628 |  29.52 |  30.84 |   12.70062 |   11.64727 |      438 |       13 |      NaN |      NaN |      529 |  164.7 |   72.6 |     0.15 |     0.03 | E     |      |       |           |             |  -4.8 |   0.4 |     1.66 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.14 |  10.42 |   0.45 |   0.90 |   8.86 |
  NGC4643                 | UGC07895,SDSSJ124320.14+015841.7,SDSSJ124320.13+015841.7,PGC042797,NGC4643,MCG+00-33-005,LGG315:[G93]002,IRAS12407+0215,EVCC2212,CGCG015-008,AGC007895,2MASXJ12432013+0158422                                                                                        |     42797 |  31.52 |  30.39 |   12.72225 |    1.97852 |     1328 |        2 |     1326 |        5 |     1372 |  131.7 |   42.9 |     0.11 |     0.03 | S0-a  | B    | R     |           |             |  -0.5 |   0.9 |     1.35 |     0.04 | 116.49 |   4.06 | 171.26 |   6.34 |  16.73 |   0.17 |  13.49 |   0.13 |  11.07 |   0.53 |   0.90 |   9.59 |
  NGC4636                 | VCC1939,UGC07878,SDSSJ124249.82+024115.9,SDSSJ124249.69+024115.5,PGC042734,NGC4636,MCG+01-32-137,LGG292:[G93]049,EVCC1078,CGCG043-002,2MASXJ12424986+0241160                                                                                                         |     42734 |  30.78 |  30.74 |   12.71380 |    2.68870 |      925 |       22 |     1094 |       17 |      973 |  149.7 |   64.5 |     0.13 |     0.03 | E     |      |       |           |             |  -4.8 |   0.5 |     1.80 |     0.03 | 217.25 |  15.96 | 240.61 |  18.03 |  15.33 |   0.27 |    NaN |   0.12 |   9.90 |   0.42 |   0.90 |   9.38 |
  NGC4660                 | [TH2002]019,VCC2000,UGC07914,SDSSJ124431.97+111125.8,PGC042917,NGC4660,MCG+02-33-006,LGG292:[G93]027,EVCC2216,CGCG071-023,2MASXJ12443197+1111259                                                                                                                     |     42917 |  31.25 |  30.86 |   12.74222 |   11.19051 |     1095 |       22 |      NaN |      NaN |     1184 |  100.0 |   60.3 |     0.12 |     0.03 | E     | B    |       | M         |             |  -4.6 |   0.7 |     1.32 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.15 |  11.88 |   0.39 |   0.88 |  10.47 |
  NGC4649                 | [TH2002]002,[RG2008]J190.91656+11.55271,VV206:,VCC1978,UGC07898,SDSSJ124339.97+113309.7,PGC042831,NGC4649,MESSIER060,MCG+02-33-002,M60,LGG292:[G93]026,KPG353B,EVCC1101,CGCG071-016,ARP116:,2MASXJ12434000+1133093                                                   |     42831 |  31.25 |  31.16 |   12.72777 |   11.55271 |     1108 |       19 |      NaN |      NaN |     1198 |  104.6 |   51.7 |     0.10 |     0.02 | E     |      |       | M         |             |  -4.6 |   0.9 |     1.83 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.11 |   9.66 |    NaN |   0.93 |   7.96 |
  NGC4697                 | UGCA300,PGC043276,NGC4697,MCG-01-33-010,LGG314:[G93]003,GIN796,2MASXJ12483590-0548030                                                                                                                                                                                |     43276 |  31.32 |  30.44 |   12.80998 |   -5.80077 |     1240 |        3 |      NaN |      NaN |     1248 |   83.1 |   90.0 |     0.23 |     0.03 | E     |      |       |           |             |  -4.5 |   0.8 |     1.85 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.13 |  10.10 |   0.37 |   0.87 |   7.83 |
  NGC4754                 | VCC2092,UGC08010,SDSSJ125217.49+111849.9,PGC043656,NGC4754,MCG+02-33-030,LGG289:[G93]053,KPG356A,EVCC1205,CGCG071-062,2MASXJ12521756+1118491                                                                                                                         |     43656 |  31.58 |  31.02 |   12.87153 |   11.31394 |     1317 |        1 |      NaN |      NaN |     1409 |   22.3 |   90.0 |     0.33 |     0.03 | S0    | B    | R     | M         |             |  -2.4 |   1.1 |     1.62 |     0.02 | 171.44 |   8.08 | 171.44 |    NaN |    NaN |    NaN |    NaN |   0.14 |  11.24 |   0.42 |   0.85 |   9.39 |
  NGC4753                 | [FN2007]1275,UGC08009,SDSSJ125222.06-011158.4,PGC043671,NGC4753,MCG+00-33-016,LGG315:[G93]003,IRAS12498-0055,EVCC2237,CGCG015-029,2MASXJ12522211-0111588                                                                                                             |     43671 |  31.39 |  31.50 |   12.87277 |   -1.19958 |     1243 |       73 |     1172 |        8 |     1274 |   85.9 |   78.2 |     0.33 |     0.04 | S0-a  |      |       | M         |             |  -1.3 |   1.1 |     1.81 |     0.03 | 269.64 |  15.08 | 275.44 |  15.53 |  15.81 |   0.24 |  11.81 |   0.14 |  10.41 |   0.34 |   0.81 |   8.63 |
  NGC4762                 | VCC2095,UGC08016,SDSSJ125255.97+111351.5,PGC043733,NGC4762,MCG+02-33-033,LGG292:[G93]032,KPG356B,EVCC1212,EONJ193.234+11.231,EGISJ125256.0+111351,CGCG071-065,2MFGC10158,2MASXJ12525604+1113508                                                                      |     43733 |  31.03 |  30.17 |   12.88221 |   11.23086 |      973 |       14 |      985 |       20 |     1065 |   31.6 |   90.0 |     0.37 |     0.03 | S0    | B    | R     | M         |             |  -1.8 |   0.9 |     1.92 |     0.02 | 110.00 |  18.64 | 110.00 |    NaN |  17.05 |   0.42 |    NaN |   0.10 |  10.92 |   0.35 |   0.79 |   9.72 |
  NGC4472                 | VCC1226,UGC07629,SDSSJ122946.76+080001.7,PGC041220,NGC4472,MESSIER049,MCG+01-32-083,LGG292:[G93]015,GIN781,EVCC0755,CGCG042-134,ARP134,2MASXJ12294679+0800014                                                                                                        |     41220 |  30.95 |  31.10 |   12.49630 |    7.99972 |      979 |        8 |     1010 |        6 |     1047 |  156.4 |   50.3 |     0.09 |     0.03 | E     |      |       |           |             |  -4.8 |   0.5 |     2.01 |     0.02 | 192.71 |  10.95 | 250.47 |  14.81 |  13.90 |   0.27 |    NaN |   0.10 |   9.23 |   0.53 |   0.93 |   7.22 |
  NGC4477                 | [RG2008]J187.50915+13.63655,VCC1253,UGC07638,SDSSJ123002.18+133811.5,PGC041260,NGC4477,MCG+02-32-097,LGG289:[G93]017,IRAS12275+1354,EVCC2137,CGCG070-129,2MASXJ12300227+1338112,2MASXJ12300217+1338111                                                               |     41260 |  31.64 |  31.08 |   12.50061 |   13.63642 |     1358 |       33 |      NaN |      NaN |     1454 |   25.7 |   33.5 |     0.06 |     0.02 | S0    | B    | R     |           |             |  -1.7 |   0.7 |     1.57 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  13.69 |   0.14 |  11.11 |   0.74 |   0.91 |   9.62 |
  NGC4486                 | [TH2002]001,[RG2008]J187.70591+12.39114,VCC1316,UGC07654,SDSSJ123049.41+122328.1,PGC041361,NGC4486,MRC1228+126,MESSIER087,MCG+02-32-105,M87,LGG289:[G93]012,IRAS12282+1240,GIN800,EVCC0786,CGCG070-139,ARP152,4C+12.45,3C274,2MASXJ12304942+1223279                  |     41361 |  31.52 |  31.12 |   12.51372 |   12.39110 |     1283 |       12 |      NaN |      NaN |     1373 |    NaN |   26.4 |     0.03 |     0.03 | E     |      |       |           |             |  -4.3 |   0.6 |     1.85 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.10 |   9.54 |   0.72 |   0.93 |   8.00 |
  NGC4473                 | [RG2008]J187.45362+13.42944,VCC1231,UGC07631,SDSSJ122948.86+132545.9,PGC041228,NGC4473,MCG+02-32-093,LGG285:[G93]015,GIN782,EVCC0757,CGCG070-125,2MASXJ12294887+1325455                                                                                              |     41228 |  32.66 |  30.90 |   12.49691 |   13.42947 |     2249 |       11 |      NaN |      NaN |     2343 |  100.0 |   90.0 |     0.23 |     0.04 | E     |      |       |           |             |  -4.7 |   0.7 |     1.63 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.12 |  10.89 |   0.59 |   0.91 |   9.45 |
  NGC4489                 | VCC1321,UGC07655,SDSSJ123052.25+164531.9,SDSSJ123052.24+164531.8,PGC041365,NGC4489,MCG+03-32-054,LGG292:[G93]037,EVCC0788,CGCG099-073,2MASXJ12305224+1645313                                                                                                         |     41365 |  30.95 |  30.91 |   12.51451 |   16.75882 |      940 |        1 |      NaN |      NaN |     1050 |    NaN |   33.7 |     0.04 |     0.03 | E     |      | R     |           |             |  -4.7 |   0.9 |     1.24 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.12 |  12.83 |   0.25 |   0.80 |  11.65 |
  NGC4478                 | [TH2002]021,[RG2008]J187.57258+12.32856,VCC1279,UGC07645,PGC041297,NGC4478,MCG+02-32-099,LGG289:[G93]011,EVCC0774,CGCG070-133,2MASXJ12301743+1219428                                                                                                                 |     41297 |  31.70 |  31.13 |   12.50484 |   12.32861 |     1390 |        9 |      NaN |      NaN |     1479 |  144.5 |   51.5 |     0.09 |     0.02 | E     |      |       |           |             |  -4.9 |   0.4 |     1.24 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.10 |  12.10 |   0.60 |   0.87 |  10.69 |
  NGC4476                 | [TH2002]033,[RG2008]J187.49617+12.34866,VCC1250,UGC07637,SDSSJ122959.10+122055.2,SDSSJ122959.08+122055.1,PGC041255,NGC4476,MCG+02-32-096,LGG286:[G93]006,IRAS12274+1237,EVCC0764,CGCG070-128,2MASXJ12295908+1220552                                                  |     41255 |  32.38 |  31.20 |   12.49975 |   12.34865 |     1959 |        1 |      NaN |      NaN |     2048 |   27.4 |   60.1 |     0.17 |     0.03 | E-S0  | B    | R     |           |             |  -2.9 |   1.0 |     1.23 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  13.51 |   0.12 |  12.95 |   0.31 |   0.74 |  11.66 |
  NGC4546                 | UGCA288,PGC1066760,PGC041939,NGC4546,MCG-01-32-027,6dFJ1235295-034736,2MASXJ12352950-0347356                                                                                                                                                                         |     41939 |  31.03 |  30.72 |   12.59153 |   -3.79326 |     1054 |        8 |     1050 |        9 |     1067 |   89.7 |   76.0 |     0.25 |     0.02 | E-S0  | B    |       |           |             |  -2.7 |   0.6 |     1.50 |     0.03 | 208.01 |   9.80 | 214.35 |  10.20 |  16.20 |   0.28 |    NaN |   0.15 |  11.19 |   0.55 |   0.92 |   9.28 |
  NGC4494                 | UGC07662,PGC041441,NGC4494,MCG+04-30-002,LGG294:[G93]001,GIN784,CGCG129-005,2MASXJ12312403+2546299                                                                                                                                                                   |     41441 |  31.70 |  31.11 |   12.52335 |   25.77468 |     1320 |       13 |     1310 |       12 |     1470 |    NaN |   24.8 |     0.02 |     0.06 | E     |      |       |           |             |  -4.8 |   0.4 |     1.64 |     0.04 | 255.37 |  26.58 | 608.63 |  76.41 |    NaN |    NaN |    NaN |   0.09 |  10.57 |   0.44 |   0.85 |    NaN |
  NGC4564                 | [TH2002]017,[RG2008]J189.11243+11.43925,VCC1664,UGC07773,SDSSJ123626.98+112621.2,PGC042051,NGC4564,MCG+02-32-150,LGG289:[G93]018,EVCC2180,CGCG070-186,2MASXJ12362699+1126215                                                                                         |     42051 |  31.25 |  30.97 |   12.60749 |   11.43930 |     1132 |       19 |      NaN |      NaN |     1220 |   47.8 |   90.0 |     0.27 |     0.05 | E     | B    |       |           |             |  -4.6 |   0.7 |     1.50 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.14 |  11.79 |   0.60 |   0.89 |  10.37 |
