\ ------------------------------------------------------------------------------------------------------------------
\
\ S4G pipeline 5 stellar masses.
\ 
\ M.Querejeta & S.Meidt, MPIA, Heidelberg, September 2014 (contact: querejeta@mpia.de)
\
\ ------------------------------------------------------------------------------------------------------------------
\ COLUMN DESCRIPTION:
\ 
\ Column #1: Galaxy name
\  
\ Column #2: Stellar mass (ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote; M/L=0.6 Msun/Lsun)
\  
\ Column #3: Flux of ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote
\  
\ Column #4: (Weighted) average signal-to-noise ratio of the original 3.6um image (see paper for details)
\  
\ Column #5: Distance (Muñoz-Mateos et al. 2015)
\  
\ Column #6: Hubble type (Buta et al. 2015)
\  
\ -----------------------------------------------------------------------------------
|       #1|             #2|             #3|             #4|             #5|      #6|
|   Galaxy|   Stellar mass|        s2 flux|            S/N|       Distance|Hubble T|
ESO289-026      1166049792       53.727524        5.413723       26.459999        7
ESO292-014      6168082432      473.050842       26.424177       29.520000        7
ESO305-009       582206976       51.233986        4.005819       13.200000        8
ESO305-017       354623552       89.944321        8.309349       14.280000       10
ESO340-008      4359830016      142.335541       23.605019       44.119999       20
ESO340-009      1710852736      108.996666       13.256938       33.919998        7
ESO340-017      5809153024      145.456329       14.614862       35.029999        7
ESO341-032      4804443648      234.844666        9.659562       36.820000        8
ESO342-013     10094087168      400.477661       22.441963       40.130001        9
ESO346-001      3811575808      295.184784       33.732063       28.209999       20
ESO346-014      1981254400       78.448959       14.470269       45.110001        7
ESO347-017       128948200      128.684021        8.803729        8.200000       10
ESO358-025      2376428544      139.328583       14.239029       18.610001       20
ESO358-063     15205840896     1657.358643       27.531836       19.670000        5
ESO359-003       473691680       29.858692       20.782610       15.820000        9
ESO361-015      2782046976      383.120789       21.354706       19.480000        8
ESO361-019      2247845376      134.878510       11.771061       30.930000       10
ESO362-009       769684032      137.593140        5.427462       10.200000        8
ESO362-011     10723835904     1536.944336       27.822088       20.219999        5
ESO362-019       537597824       88.116806        8.923543       16.530001        7
ESO402-026     53001281536     2247.763916       38.835991       48.150002        2
ESO402-030     10097359872      612.360107       40.780056       36.040001       -2
ESO404-027     11703634944      516.480713       14.319328       39.380001        1
ESO407-007     17233616896      570.808716       42.055153       32.840000        1
ESO409-015        43233284       10.604837        5.493578        9.770000       10
ESO418-008      1349314432      306.377319       22.445675       20.730000        8
ESO418-009      1148369920      313.770813       17.064922       18.000000        7
ESO420-006        99601968        4.198886        3.316697       18.430000       10
ESO421-019      2248402432      117.692154        7.046453       17.000000        8
ESO422-033       575892800       85.116966       14.314030       16.930000       10
ESO422-041       702487168      197.216125        6.602311       10.800000        5
ESO423-002      4606271488      616.794922       16.105654       21.410000        8
ESO440-011     10016903168      630.857788       15.096635       27.600000        6
ESO440-027      9829053440     1345.009521       30.553511       21.600000        5
ESO440-046      1257627264      166.772797        8.939208       15.430000        8
ESO441-011       818428160       34.270004       11.649939       30.770000        9
ESO441-017      7901635584      337.769897       23.277411       34.900002        8
ESO443-021     23758571520      687.448608       54.560177       47.450001        5
ESO443-042     22431817728     1496.290527       35.253925       38.570000        1
ESO443-080      2888820736       62.585869        7.755592       36.810001        9
ESO445-089     11868253184      500.261230       12.235143       36.299999        7
ESO462-031      4887682560      228.439240       17.323780       36.070000       -3
ESO469-015      3566533120      238.713089       32.184383       27.459999        7
ESO477-016      3653052928      210.219955       23.787874       36.759998        3
ESO479-004      3880413696      412.203125       17.357401       19.400000        7
ESO479-025      2068374528      216.997314       26.137474       20.549999       20
ESO481-014       968027264      114.307457        6.838025       20.500000        8
ESO481-018      3511478784      293.588074       11.986987       22.580000        6
ESO482-046      3665982208      160.200684       17.804995       23.139999        8
ESO483-013       649955456      306.983459       11.556667       11.960000       -3
ESO485-021      1029427584       45.775757        6.459043       16.000000        5
ESO501-080       717999872      202.124664       12.886307       13.970000        8
ESO505-002      1153358336      119.231171        6.618991       22.760000       10
ESO505-013      3780426240      242.153442       15.959333       25.700001        6
ESO508-011      5766453248      202.125656       14.836722       33.009998        7
ESO508-019      4850347520      162.937683       18.533302       39.369999        9
ESO509-074     18731671552     1475.122070       53.988857       34.990002        4
ESO533-004     19457748992      878.812256       47.581913       40.980000       20
ESO540-016       836261888      108.261719       14.754292       24.090000        8
ESO544-027      6121583616      374.336182       39.611488       40.279999       20
ESO544-030      1632449536      395.592102       10.419990       16.120001        9
ESO545-005      7457190400      463.966339       21.280884       31.160000        2
ESO548-023      1165519232       45.331303       12.347937       21.900000       -3
ESO550-024      2259868672      476.076508        9.189677       13.610000        8
ESO569-014      6452876288      269.325806       21.613047       26.540001        7
ESO572-034       487597568      116.498230       12.248949       14.850000       10
ESO576-003      5090487808      273.501587       14.443000       34.500000        8
ESO576-011     18442645504       30.387112       26.080261       36.910000        5
ESO576-050      5946722304      456.046692       12.623438       24.690001        6
ESO580-022      4987724800      174.043411        9.703562       29.629999        8
ESO580-029     16345917440     1410.919922       62.801174       34.250000        3
ESO580-041      5170521088      368.773773       24.991781       33.430000        8
ESO581-025     23558404096     2534.292480       45.069653       29.930000        4
ESO602-030      2454286336      187.281982       14.847396       30.930000        7
    IC0051      4817884160      820.773926       26.124460       22.860001       20
    IC0163      7298179072      404.576355       22.194939       29.209999        9
    IC0210     12364257280     2395.395996       61.364922       25.520000        9
    IC0217      5316206592      472.573181       23.119448       27.120001        7
    IC0223       688516096       92.915176        9.551726       18.799999       10
    IC0600      2200493568       51.477772        9.359234       20.299999        9
    IC0610     21035122688     1095.469482       52.164253       38.099998       -2
    IC0719     12625424384      816.764893       64.264114       28.570000       -2
    IC0755      2791283200      179.818054       21.180027       29.580000        9
    IC0764     10755065856     1077.037964       15.765615       28.340000        5
    IC0796      3780112896      292.014160       21.202219       20.740000       -3
    IC0851      4309587968      215.884796       22.112129       34.849998        9
    IC0902      8907532288      754.597412       38.584763       32.049999        7
    IC1014      3854386688      386.431885        9.852043       24.200001        9
    IC1024      5893914624       83.430702       58.324608       19.400000        8
    IC1029     54097379328     2291.497314       54.309803       47.720001        1
    IC1048     14834277376     1170.026367       36.249725       29.430000        7
    IC1055     26533449728     1489.309326       49.275108       39.180000        2
    IC1125      8621973504      343.137451       22.605631       35.150002        8
    IC1151     12231546880      516.697571       18.879967       38.279999        7
    IC1210     12827107328      616.578247       35.678280       50.680000        1
    IC1265      4520150016      239.941162       11.854903       28.889999        0
    IC1553      9578535936      169.626556       69.415115       33.400002        5
    IC1558      1152723456      112.104401        5.540091       13.670000        8
    IC1596      3652179968      226.080978       13.014760       35.669998        4
    IC1711     29705342976     1781.251221       54.267281       43.250000        0
    IC1727       557220352     1005.774292        7.967222        6.820000        9
    IC1826     16959817728      373.362366       18.363253       36.160000       10
    IC1870      3023354368      177.229279        9.778118       17.799999        9
    IC1892      4053758464      182.460205        9.054091       35.200001        8
    IC1898      5960379392      767.744141       27.172222       19.889999        8
    IC1913      1105863296       87.411125       15.939373       21.389999        8
    IC1914      2266644736      208.612335        6.858934       18.139999        6
    IC1933      3661387776      587.527954       21.919106       20.090000        9
    IC1952      6903012864     1092.106934       37.928394       24.299999        5
    IC1953     17737220096      195.655960        9.243085       24.639999        5
    IC1959       330217984      438.629303       15.751536        8.200000        7
    IC1970      8844837888     3239.878418       45.096024       19.959999        5
    IC2000      7638784512      258.647949       20.286690       20.080000        8
    IC2040      2109350784      371.334900       22.574390       17.680000       -5
    IC2058      2913687040      412.823547       16.463516       21.520000        9
    IC2085      1962676480      277.919159       24.022600       15.380000       -3
    IC2135     11898898432     1912.028076       34.078598       25.209999        9
    IC2233      1008524224      463.095001       30.314938       13.280000        8
    IC2361      3754867712      206.822327       23.676893       27.840000        4
    IC2461     33483681792     1130.877075       46.938965       54.180000       -2
    IC2574       233936256     5454.445312        5.031690        3.830000       10
    IC2604       932176512      108.461029       10.085917       21.790001        9
    IC2828       271479616       94.950012       11.294220       13.910000       10
    IC2963      1914804736      281.900818       26.191441       22.309999        7
    IC2995      6404018176      861.868713       21.539932       21.000000        7
    IC2996      5232657920       95.609543       43.295620       30.590000        7
    IC3005      8147022848     1392.424927       42.210270       26.629999        5
    IC3061     13818488832      138.308441       29.475912       43.599998        7
    IC3102     28508653568       81.638123       21.643883       28.850000        0
    IC3258       690441728      161.864288        6.192462       14.800000       10
    IC3322      3658099968      353.218079       18.753450       22.730000        7
   IC3322A     10897960960     1425.010010       38.098648       26.430000        6
    IC3392      5864717824     1501.577393       37.293285       16.120001        2
    IC3476      1681164800      303.667175       13.221702       13.450000        9
    IC3521      2549673216      238.228577       15.628854       16.700001        9
    IC3583       972518912      219.913239       14.354356       14.200000       10
    IC3742      1704749696      166.459152       11.908374       23.600000        8
    IC3806      2385073664      185.318237       19.318083       18.830000       -1
    IC3908     12205413376     2965.596680       57.123856       20.980000        7
    IC4182       363510912      368.844971        9.331782        4.270000        9
    IC4213      1470444672      100.958534       14.512746       19.549999        9
    IC4216      7634256896      346.111938       17.629360       37.889999        7
    IC4351     45436706816     7218.795410       48.692486       31.309999        3
    IC4468     15667085312      734.832520       36.585800       33.959999        4
    IC4536      9579460608      440.635895       11.774304       33.400002        6
    IC4582     12656488448      784.296509       55.602295       46.650002        1
    IC4660       835686976      243.843048       19.362864       16.559999        8
    IC5007     15387114496      631.667236       15.919205       34.040001        9
    IC5039     15463804928      758.091125       46.362377       32.470001        6
    IC5052      2178078464     2726.412354       27.035494        8.100000        7
    IC5078      6744721408      952.694824       24.286806       21.490000        1
   IC5105B      5883204096      813.016235       41.921131       25.469999        9
    IC5152       160276032     3869.017578       22.960173        1.760000       -2
    IC5156     35504005120     1401.775635       43.507076       36.080002        1
    IC5170      7345178112     1254.578735       42.286369       20.709999        0
    IC5176     28325347328     2328.527344       50.432899       26.910000       20
    IC5201      5711526400     1081.032227        7.367414       14.400000        7
    IC5264     54526636032      809.306030       46.469669       47.750000       -1
    IC5267     95132434432     6548.500000       18.925718       26.080000        0
    IC5269     13092212736      315.533173       35.886494       26.150000       -1
   IC5269C      1834337280      108.012360        7.608860       23.840000        7
    IC5271     29795143680     1793.129639       67.494408       22.629999        2
    IC5332      4501444608     3346.414307        9.371134        8.400000        6
    IC5333      6131530752      434.605408       39.170982       32.330002       20
   NGC0007      1352155776      191.173584       10.723294       21.930000       10
   NGC0014      1605908224      617.076416       11.009751       12.800000       10
   NGC0024      1626736896     1358.069458       22.899586        6.890000        7
   NGC0045      4683382784     1668.848022       11.253553        9.310000        8
   NGC0059       249894240      385.000641       12.299086        4.850000       20
   NGC0100      1827693056      384.784546       17.064251       16.389999        6
   NGC0115      2715227136      290.073944       14.625919       30.690001        7
   NGC0131      2759641856      360.806335       29.522980       18.799999        3
   NGC0134     49692119040    27910.660156       68.387604       18.889999        4
   NGC0148      9055710208      797.907959       41.650730       18.400000       -1
   NGC0178      2062804224      435.871979       18.000669       18.400000       20
   NGC0216      2674836224      373.903687       21.325687       19.100000        8
   NGC0244       606025024      234.887238       17.783596       11.600000        9
   NGC0247      3376618752    18548.816406       12.819450        3.590000        7
   NGC0254     10550036480     1430.983276       26.154913       17.100000       -1
   NGC0298      1875143936      226.473022       16.880861       23.389999        8
   NGC0300      2136018304    34287.730469       12.889366        1.970000        8
   NGC0337     15235502080     1986.318604       29.237522       22.129999        6
   NGC0360     26133225472     1779.541260       48.101345       32.759998        4
   NGC0428      5039416832     1344.728516       11.291898       14.660000        8
   NGC0473     15973535744      812.735413       33.282883       29.799999       -1
   NGC0474     32218300416     2310.791992       17.067568       30.879999        0
   NGC0485      7954911232      410.848267       26.693108       35.730000        5
   NGC0489     19420612608     1782.074707       96.347588       43.250000       -1
   NGC0493      8665640960      867.274414       20.214512       25.660000        7
   NGC0518     19985680384      320.213684       21.214552       35.349998       -1
   NGC0520     43915694080     4570.050781       26.344328       27.799999       20
   NGC0522     41085390848     1261.774414       50.253616       46.119999       -2
   NGC0532     30516957184     1889.593994       27.925385       31.219999       -1
   NGC0584     52077580288     5106.455078       34.657005       19.930000       -3
   NGC0600      5597801472      281.732300        9.339581       22.900000        7
   NGC0615     20695633920     4585.551270       38.884010       27.139999        1
   NGC0625       580337536     2123.830078       15.258982        3.810000       10
   NGC0660     29136283648    15175.125977       60.660942       13.450000       20
   NGC0672      2956453888     3059.552490       14.502059        8.000000        7
   NGC0676     32098777088     1786.936768       65.171425       19.500000       -1
   NGC0678     36948144128     1311.458618       31.813818       27.879999        0
   NGC0680     52923801600     1244.531128       30.042398       34.849998       -2
   NGC0755      4491240448      626.401978       21.277243       20.190001        7
   NGC0779     16532225024     5282.327148       55.293617       17.680000        1
   NGC0784       273801664      887.400024        9.161875        4.620000        9
   NGC0803      9229312000      886.836975       16.373459       24.650000        4
   NGC0855      1302191616      476.021851       16.345966        9.730000       -3
   NGC0865     12395455488      559.200439       46.140598       36.020000        3
   NGC0899      2912133120      571.928528       18.384262       18.500000        9
   NGC0907      5971652608      811.311646       33.956486       20.549999        9
   NGC0936     83686359040     5257.079102       41.492126       20.680000       -1
   NGC0955     17685389312     1924.249756       49.890232       23.080000       -1
  NGC0986A       567779136       55.956909        8.636890       19.129999       10
   NGC0988      8104365056     2667.159180       45.302948       17.150000        7
   NGC1032     74531258368     1725.664307       56.637711       36.330002       -3
   NGC1035      9583200256     2143.750244       55.450855       18.459999        5
   NGC1051      1643941376      446.919434       13.745981       15.900000        9
   NGC1052     42574274560     8882.012695       18.325796       19.480000       -5
   NGC1090     26994606080     1270.784912       21.237482       32.320000        4
   NGC1110      1024413632      101.935165        7.686996       19.770000       10
   NGC1140      3401118720      668.119019       16.718494       18.950001        9
   NGC1145     20263391232      723.972534       39.658047       28.059999        0
   NGC1163     10113531904      625.544800       35.223160       33.770000       -1
   NGC1222     14377193472     1588.429932       24.977230       31.000000       -3
   NGC1249      4079624704     1229.245605       14.098202       15.850000        9
   NGC1253     10566893568     1917.557129       16.970812       22.690001        6
   NGC1292      7761088512     1125.139648       24.058445       21.480000        5
   NGC1311       191054096      401.611298        9.910732        5.300000        8
   NGC1313      2944443392    15421.700195       13.730186        3.950000        7
  NGC1316C      1459522944      229.403381       19.223440       16.900000       -1
   NGC1325     16480779264     2434.151367       30.858646       22.000000        3
  NGC1325A      2574708224      356.815491        9.194543       17.700001        2
   NGC1326     38686687232     2834.915039       31.731710       16.980000       -1
  NGC1326B      1420262400      276.950470        7.241191       16.900000       10
   NGC1332     66500157440     6958.869141       32.233650       19.629999       -3
   NGC1337      4041647104     1780.049072       20.609303       16.080000        6
  NGC1351A      5364261888      224.706940       22.266571       23.510000        5
   NGC1353     39548755968     2447.966064       43.742870       24.370001        1
   NGC1359      7925720064      469.600220       12.342676       33.770000        9
   NGC1406     17311698944     3313.970703       82.262993       17.600000        4
   NGC1415     17504759808     3656.438477       36.528496       17.700001       -1
   NGC1421     38361653248     3752.393066       41.337307       26.389999        5
   NGC1422      3481920000      182.147614       15.524811       21.480000        7
   NGC1425     27765710848     3100.709473       23.288853       21.260000        3
  NGC1427A      1131927808      273.996765        8.535810       16.400000       10
  NGC1437B       790402368      277.374847       11.925194       10.300000       10
   NGC1448     35936731136     6638.656738       89.705933       17.400000        5
   NGC1473      1912729088      368.352844       15.740677       18.020000       10
   NGC1476      1569384576      146.029816       15.809376       22.520000       10
   NGC1482     15794752512     9069.156250       52.116436       19.600000        1
   NGC1484      2069297536      182.788147       15.778841       17.520000        8
   NGC1487      1523802112     1119.652588       18.137432        8.900000       20
   NGC1494      3462473984     1069.356689       12.914121       15.220000        7
   NGC1495      4093456896      970.969482       34.190174       17.270000        8
   NGC1507      1905098240     1045.108765       27.707632       11.170000        9
   NGC1510       653157120      209.491348       15.259767       11.000000       -1
   NGC1511     20060188672     2452.909668       52.418213       16.510000        5
  NGC1511A      2536014336      318.753448       21.295490       23.110001        0
   NGC1515     21848809472     6481.076172       48.249298       16.860001        0
   NGC1518      1940925184     1395.494629       22.974388        9.600000        9
   NGC1519      5408648192      522.643433       24.182800       25.639999        8
   NGC1532     52584099840    22992.214844       13.739176       17.049999        2
   NGC1533     32395296768     3782.763184       34.456291       18.379999       -2
   NGC1553     70138855424    24038.765625       41.324276       15.080000       -1
   NGC1556      1872103936      393.816803       31.044153       18.690001       10
   NGC1592       350896384      219.804596       12.376830       12.600000       10
   NGC1596     14860529664     3965.871582       36.450397       15.630000       -3
   NGC1602      2217365504      310.523102       11.413783       20.920000       10
   NGC1679      3298932736     1364.498047       16.333265       12.730000        9
   NGC1688      4863667712     1173.563965       19.216822       15.450000        8
   NGC1705       223612384      339.954224       17.150543        5.370000       20
   NGC1744      2293457664     1877.204224       11.032941       10.850000        7
   NGC1800       514876800      603.546631       16.871307        7.400000       10
   NGC1808     37344575488    25199.162109       64.930473       11.550000        1
   NGC1824      1001357312      535.038635       12.557848       13.780000       10
   NGC1827      1518066048      687.243469       27.270693       11.600000        8
   NGC1853      5517978624      556.694885       27.263704       26.480000        8
   NGC1879      3008424192      329.435669        8.286439       21.049999        9
   NGC1892      4529382400     1052.680786       30.659103       16.900000        5
   NGC2101       577004672      190.404877        8.138851       13.300000       10
   NGC2104      1193165056      410.719543       17.789223       14.130000        8
   NGC2500      2464764928     1426.882080       20.098566       10.100000        7
   NGC2537      1666653952     1796.532715       17.274977        7.940000       10
   NGC2550     10522917888      634.886475       34.894669       36.700001        3
   NGC2552      1276115968      461.461792        7.790278       11.870000        9
   NGC2591      8766450688     1457.353394       40.262833       20.969999        7
  NGC2634A      2060003712      166.193726       13.140873       27.840000        9
   NGC2654     28201537536     2439.159424       65.221832       26.200001       -1
   NGC2683     38665527296    18282.882812       53.486153       10.180000        0
   NGC2685      9224999936     1945.003296       10.845326       13.480000       -2
   NGC2715     19095408640     2723.308105       28.795464       21.910000        4
   NGC2726      8284203008      556.034302       54.309944       24.000000        0
   NGC2732     20513024000     1429.048218       57.805607       27.500000       -3
   NGC2743      9582018560      339.271851       22.090630       39.849998        9
   NGC2748     18273140736     3132.045410       50.926956       21.610001        4
   NGC2764     19508801536     1410.964966       45.979168       37.400002        1
   NGC2768     83757416448     4444.880371       39.294125       20.070000       -5
   NGC2770     18650214400     1443.769653       27.640289       30.420000        5
   NGC2776     21392474112     1492.898071       11.811979       27.559999        5
   NGC2787      2411578112    -7122.806152       30.954924       10.240000       -2
   NGC2793      2816864256      241.135681       15.010152       26.299999       20
   NGC2798     19575089152      898.504456      105.867676       25.660000        1
   NGC2805     18684923904      850.840881        7.980864       27.820000        5
   NGC2814      3812316672      193.957443       22.299255       27.100000       20
   NGC2820     13664167936     1924.791748       33.062778       32.090000        5
   NGC2854     16116189184      372.499695       56.035923       33.700001        1
   NGC2859     71074070528     2497.281738       20.363674       27.330000       -1
   NGC2903     41494020096    40513.644531       48.365166        9.060000        3
   NGC2919     20140896256      638.880127       37.664062       41.750000        4
   NGC2962     51039895552      676.475708       25.535944       33.889999       -1
   NGC2966      9896138752     1701.484375       30.955889       25.850000        1
   NGC2974     54962749440     3775.293945       73.538330       24.730000        0
   NGC3003     10784069632     1437.682861       20.680164       22.680000        7
   NGC3026      4106490112      392.261200       14.535954       25.400000        7
   NGC3027      4740043776      442.352844        9.031802       19.760000        8
   NGC3032      7956089856     1166.880615       34.202389       22.860001       -2
   NGC3034     22249912320   305578.656250      116.382645        3.780000        0
   NGC3043     18402674688      395.492371       39.662964       46.180000        8
   NGC3044     15824422912     3297.822266       43.404655       23.309999        8
   NGC3057      3060298752      230.508240        8.034486       25.700001        7
   NGC3065     30056001536     1455.079834       30.825302       34.029999       -2
   NGC3067     15569768448     2612.920410       71.070656       21.320000       -2
   NGC3073      3777462272      120.462326        8.449496       23.200001       -3
   NGC3077      2317690880     8760.861328       27.318779        3.560000       -2
   NGC3079     74145210368     7876.923340       49.645920       19.129999        3
   NGC3098     10593148928      792.097473       52.039085       20.270000       -3
   NGC3104       434074304      207.157761        6.322649        9.400000       10
   NGC3115     61770178560    12906.236328       24.671822       10.170000       -3
   NGC3118      2587375616      119.446732       14.973744       27.799999        8
   NGC3190     84386299904     1111.662354       44.562145       23.629999        1
   NGC3193     58375245824     4347.030273       38.873024       29.309999       -5
   NGC3198     16776301568     5734.296387       23.809067       13.990000        4
   NGC3239      1216976640      690.246155       17.211988        8.100000        9
   NGC3246      6236237824      327.804108       12.197896       33.700001        6
   NGC3252      7638415360      627.574341       27.918020       25.980000        8
   NGC3264      1518758400      170.644547        8.918259       20.719999        7
   NGC3274       984172032      386.773132       17.168869       13.130000       20
   NGC3279     37185495040      422.817810       63.387981       36.720001        6
   NGC3287      6178743296     1211.435669       24.586369       22.100000        8
   NGC3301     26374080512     1711.374512       48.611408       23.299999       -1
   NGC3306     29167853568      305.310822       27.933523       50.139999        3
   NGC3361     11525060608      585.698364       30.032448       31.660000        5
   NGC3384     30553731072     3814.506104       59.031506       11.590000       -3
   NGC3403     12238556160      828.932495       20.350948       26.799999        4
   NGC3413      1987513088      130.605301       20.241480       16.200001        7
   NGC3414     55151931392     4735.087402       17.584932       29.030001       -4
   NGC3424     23420669952     3285.833984       51.002052       29.230000        1
   NGC3432      5218119168     1724.179932       18.569818       12.930000        9
   NGC3437     23269171200     2514.764404      211.759735       24.790001        5
   NGC3440      5392730624      143.705704       13.284842       42.799999       10
   NGC3445      3843525376      671.192078       22.584621       22.500000        9
   NGC3447      2415241216      131.027130        6.534310       20.100000        9
   NGC3448     10953266176     1933.016846       31.859182       24.500000       10
   NGC3454      6172937728      486.368469       24.773781       26.580000        5
   NGC3495     15558369280     1899.991089       16.322130       20.420000        5
   NGC3510      1136135680      331.745728       13.737600       14.080000        7
   NGC3511     16290937856     3430.223389       29.290661       14.280000        6
   NGC3526      7952025088      280.686523       37.858746       34.910000        8
   NGC3549     40956952576     1739.540283       37.839458       40.639999        4
   NGC3556     43980840960    10737.015625       52.186317       14.320000        7
   NGC3589      1627323520       88.432129        9.702117       26.250000        9
   NGC3593      4525424640     4182.942871       31.991863        5.500000       -1
   NGC3600      2838136064      520.772705       21.453142       17.000000        1
   NGC3619     36259188736     1885.979248       15.986966       27.900000        1
   NGC3622      4580823552      377.032532       15.043489       27.370001        8
   NGC3623     64087171072    25109.699219       69.224220       12.590000        1
   NGC3625      7009090048      275.045715       20.594187       38.750000        6
   NGC3628     72884813824    16867.378906       37.070438       11.300000        4
   NGC3633     20989820928     1549.350586       48.488182       41.730000        1
   NGC3637     30923558912     1289.106567       22.112324       28.200001       -1
   NGC3652     11378030592      569.784302       14.283454       33.840000        5
   NGC3659      8137503744      419.606628       12.759210       26.430000        8
   NGC3664      3514362624      195.332062        4.543356       24.400000        9
   NGC3666     12734464000      286.480286       17.705811       18.889999        4
   NGC3669     21827270656      416.375427       24.961432       55.580002        7
   NGC3683     57194078208      354.280273      135.311630       33.209999        5
   NGC3692     29886472192     1390.289673       49.633198       35.849998        0
   NGC3705     27973341184     3753.593262       21.545332       18.559999        3
   NGC3733      6575289344      163.760376        7.442079       24.950001        5
   NGC3735     85540044800     2711.042480       23.408157       38.650002        5
   NGC3738       235902976     1232.024414       11.424498        3.630000       20
   NGC3752      9007792128      463.631958       28.189686       32.599998        8
   NGC3769      6339986432     1929.125488       34.223263       16.520000        6
   NGC3773      2109724160      240.986023       17.273809       17.000000       -2
   NGC3782      1401778816      437.964783       21.899042       14.630000        8
   NGC3794      2315044864      302.306976       11.307720       19.870001        8
   NGC3795      4672896000      388.297729       24.000990       29.080000        7
  NGC3795A      2699759104      106.629318        7.113459       23.070000        8
   NGC3835     34357981184      701.030640       50.427387       44.720001        0
  NGC3846A      3280755712       22.803055        7.221480       25.299999        9
   NGC3870      1543298048      557.762695       38.804005       16.900000       20
   NGC3877     23811186688     6477.085449       95.125404       15.610000        4
   NGC3879      2405003264      208.318710       13.007935       27.200001        8
   NGC3885     39186161664     3793.459473       52.419304       27.799999       -1
   NGC3892     31340068864     4262.698730       20.731203       27.200001       -1
   NGC3900     45900791808     1570.061523       27.778223       33.799999        0
   NGC3904     69838635008     2893.337646       19.064247       24.660000       -3
   NGC3906      1253104640      366.728882       10.660934       12.810000        8
   NGC3913      2611579392      100.069092        7.984078       17.000000        8
   NGC3917      8425823232     2079.549316       30.229069       17.440001        5
   NGC3922      3572935936      216.619049       20.859772       17.000000       -4
   NGC3928      4124040704     1403.697998       15.321567       15.980000        0
   NGC3936     16067103744     1524.063110       42.627380       22.639999        5
   NGC3952      3654648320      259.714233       17.442881       27.000000       10
   NGC3955     17528573952     3393.909668       52.683052       20.600000       -3
   NGC3956     10016315392      270.129791       23.018679       27.290001        6
   NGC3962    110068195328     6366.471680       30.832352       30.730000       -5
   NGC3972      7023422464     1243.105957       25.585695       19.290001        5
   NGC3976     46185865216     2054.987061       13.210331       35.599998        3
   NGC3985      1802353664      687.623535       32.633476       12.850000        9
   NGC3998     52849848320     9960.742188       20.684343       21.930000       -2
   NGC4010      8746419200     1079.592529       16.233475       19.010000        8
   NGC4013     42398130176     5549.278320      100.821999       18.600000        1
   NGC4027     40399691776     3303.187988       33.620628       25.600000        8
   NGC4032      2234131712      503.660339       17.105856       16.910000        7
   NGC4049       448277120      146.512360       14.863993       11.050000        9
   NGC4062     18016086016     3626.960693       19.947571       16.340000        3
   NGC4064      5517730816     1715.842773       35.173309       10.630000       -2
   NGC4068       128609216      806.404785       11.265217        4.660000       10
   NGC4080       307769280      410.488464       23.515921        7.550000        7
   NGC4081     11520581632      776.101624       40.010590       30.230000        8
   NGC4085     12847365120     1635.495728       67.523827       20.320000        3
   NGC4088     39416893440     7826.754883       57.721428       16.240000        5
   NGC4094      9741212672     1620.158691       23.968451       20.780001        6
   NGC4096     16466042880     4678.191895       32.718857       12.890000        5
   NGC4100     42004635648     1688.389038       52.128750       20.830000        2
   NGC4106    134743588864     2196.900635       22.771696       26.170000        1
  NGC4108B      1993659392       89.338577        6.478504       34.200001        6
   NGC4116      9018807296      331.427979        8.708645       21.170000        7
   NGC4120      3604360192      142.489059       19.647438       29.950001        7
   NGC4129      8943513600     1146.755249       23.861193       21.129999        7
   NGC4144       951015808     1559.772095       17.432121        6.640000        8
   NGC4157     43442311168    14510.225586      112.933502       19.129999        5
   NGC4159      2693191936      294.279968       21.125202       23.370001        9
   NGC4178     11762452480     1084.431763       20.874008       17.000000        7
   NGC4180     42650320896     1660.195312       72.714630       40.080002        1
   NGC4190        54550000      302.595032        9.570951        3.140000       10
   NGC4192     56622546944     8834.114258       43.544533       15.990000        1
   NGC4194     26703028224     3946.087646       13.743740       39.099998        1
   NGC4197     10545128448      523.732239       25.689022       29.760000        7
   NGC4203     30416277504     3588.823730       15.908607       14.940000       -3
   NGC4204       528919424      273.447449        6.395304        7.900000        8
   NGC4205      2948683776      466.707184       24.556646       18.889999        7
   NGC4206      8243601920     1207.516113       32.334820       20.590000        5
   NGC4214      1203286144     6887.757812       18.414675        3.400000       10
   NGC4216     63170195456    23715.384766       70.903137       17.110001        1
   NGC4217     37186412544    12787.725586       51.968163       19.580000        5
   NGC4220     20065714176     3325.810059       36.186016       17.900000       -1
   NGC4222      7330163712      680.992310       31.942490       25.010000        7
   NGC4234     10752462848      572.961426       11.477617       32.900002        9
   NGC4235     33631891456     2174.312012       16.944340       24.969999        0
   NGC4238      5919131648      129.799789       18.847454       36.869999        5
   NGC4250     16606797824     1853.141479       30.333263       27.240000       -1
   NGC4256    100663779328      613.968872       50.887989       39.099998       -1
   NGC4258     49031061504    26983.195312       29.353453        7.440000        1
   NGC4262     20069126144     2238.946533       37.464401       20.510000       -2
   NGC4267     22803245056     2667.342041       13.827800       16.730000       -3
   NGC4268     12775091200     1181.033936       34.928398       29.600000       -1
   NGC4278     42411282432     4926.709473       12.259751       15.830000       -5
   NGC4283      6387062784     1047.698853       21.421553       15.700000       -5
   NGC4287      2931109888      150.899704       20.731628       28.520000       -3
