#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  PGC014037               | PGC014037,MCG-02-10-018,6dFJ0353183-102648,2MASXJ03531828-1026477                                                                                                                                                                                                                                                                                   |     14037 |  32.73 |    NaN |    3.88841 |  -10.44661 |     2550 |       11 |     2548 |        8 |     2418 |  136.0 |   76.7 |     0.33 |     0.04 | S0-a  | B    |       |           |             |  -1.0 |   2.0 |     1.08 |     0.04 |  73.37 |   6.64 |  75.39 |   6.85 |  16.15 |   0.27 |    NaN |   0.14 |  14.95 |    NaN |    NaN |  13.45 |
  ESO249-026              | PGC176697,PGC014066,HIPASSJ0354-43,ESOLV2490260,ESO249-026                                                                                                                                                                                                                                                                                          |     14066 |  30.07 |    NaN |    3.90358 |  -43.75734 |      930 |        8 |      930 |        7 |      676 |  170.2 |   90.0 |     0.41 |     0.02 | Scd   |      |       |           |             |   7.2 |   3.5 |     1.09 |     0.04 |  43.05 |   2.45 |  43.05 |    NaN |  15.05 |   0.18 |    NaN |   0.04 |  14.41 |    NaN |    NaN |  14.51 |
  NGC1484                 | PGC014071,NGC1484,MCG-06-09-036,IRAS03524-3706,HIPASSJ0354-36B,ESOLV3590060,ESO359-006,AGC023038,6dFJ0354176-365815                                                                                                                                                                                                                                 |     14071 |  30.40 |  30.81 |    3.90488 |  -36.97088 |     1040 |        3 |     1040 |        4 |      805 |   78.6 |   90.0 |     0.60 |     0.03 | SBb   | B    |       |           |             |   3.2 |   0.9 |     1.44 |     0.02 |  73.67 |   1.12 |  73.67 |    NaN |  15.07 |   0.08 |  14.24 |   0.06 |  12.80 |    NaN |    NaN |  12.22 |
  ESO249-027              | PGC176706,PGC014078,HIPASSJ0354-44,ESOLV2490270,ESO249-027                                                                                                                                                                                                                                                                                          |     14078 |  30.78 |    NaN |    3.90819 |  -44.75316 |     1233 |        5 |     1233 |        7 |      975 |   88.2 |   90.0 |     0.54 |     0.03 | IB    | B    |       |           |             |   9.9 |   0.6 |     1.24 |     0.03 |  43.60 |   1.99 |  43.60 |    NaN |  15.38 |   0.17 |    NaN |   0.05 |  14.25 |    NaN |    NaN |  13.82 |
  NGC1482                 | PGC014084,NGC1482,MCG-03-10-054,IRAS03524-2038,ESOLV5490330,ESO549-033,6dFJ0354389-203008,2MASXJ03543892-2030088                                                                                                                                                                                                                                    |     14084 |  31.97 |    NaN |    3.91081 |  -20.50234 |     1860 |        4 |     1859 |        8 |     1684 |  107.3 |   63.2 |     0.24 |     0.02 | S0-a  |      |       |           |             |  -0.8 |   0.9 |     1.39 |     0.02 | 108.51 |   7.42 | 121.57 |   8.38 |  15.55 |   0.31 |   9.48 |   0.17 |  12.88 |  -0.02 |   0.86 |  10.88 |
  ESO549-035              | PGC842521,PGC014099,MCG-03-10-055,ESOLV5490350,ESO549-035,AGC023045,6dFJ0355039-202300                                                                                                                                                                                                                                                              |     14099 |  31.92 |  32.95 |    3.91775 |  -20.38342 |     1819 |        7 |     1821 |        6 |     1644 |   33.3 |   45.9 |     0.15 |     0.02 | Sc    |      | R     |           |             |   6.0 |   3.0 |     1.01 |     0.04 |  52.67 |   2.51 |  73.33 |   3.56 |    NaN |    NaN |    NaN |   0.17 |  14.98 |    NaN |    NaN |  14.28 |
  IC2007                  | PGC014110,PGC014106,MCG-05-10-005,IRAS03533-2818,IC2008,IC2007,HIPASSJ0355-28,ESOLV4190110,ESO419-011,6dFJ0355228-280930,2MIG0477,2MASXJ03552274-2809299                                                                                                                                                                                            |     14106 |  31.45 |    NaN |    3.92299 |  -28.15829 |     1516 |        3 |     1516 |        4 |     1311 |   47.7 |   65.5 |     0.33 |     0.04 | Sbc   |      |       |           |             |   3.7 |   1.3 |     1.11 |     0.05 |  67.60 |   2.57 |  74.26 |   2.86 |  15.78 |   0.15 |  12.82 |   0.05 |  13.16 |    NaN |    NaN |  11.88 |
  ESO302-021              | PGC014122,HIPASSJ0355-40,ESOLV3020210,ESO302-021,6dFJ0355526-404105                                                                                                                                                                                                                                                                                 |     14122 |  29.67 |    NaN |    3.93129 |  -40.68467 |      789 |        5 |      789 |        7 |      542 |    6.0 |   81.6 |     0.61 |     0.03 | Sc    |      |       |           |             |   5.0 |   2.6 |     1.09 |     0.04 |  35.91 |   1.96 |  36.29 |   1.98 |  16.12 |   0.16 |    NaN |   0.04 |  14.58 |    NaN |    NaN |  14.59 |
  NGC1493                 | PGC014163,NGC1493,LGG106:[G93]004,IRAS03559-4621,IRAS03558-4621,HIPASSJ0357-46,ESOLV2490330,ESO249-033,6dFJ0357274-461239,2MASXJ03572738-4612386                                                                                                                                                                                                    |     14163 |  30.40 |  31.41 |    3.95762 |  -46.21081 |     1054 |        2 |     1053 |        4 |      792 |    NaN |   22.8 |     0.03 |     0.02 | SBc   | B    | R     |           |             |   6.0 |   0.3 |     1.54 |     0.02 |  44.57 |   1.21 | 114.99 |   3.69 |  13.80 |   0.16 |  11.89 |   0.04 |  11.72 |    NaN |   0.49 |    NaN |
  NGC1494                 | PGC482465,PGC014169,NGC1494,LGG106:[G93]002,IRAS03562-4903,IRAS03562-4902,HIPASSJ0357-48,ESOLV2010120,ESO201-012,AGC023089,2MASXJ03574256-4854409,2MASXJ03574243-4854305                                                                                                                                                                            |     14169 |  30.50 |  30.47 |    3.96185 |  -48.91150 |     1127 |        2 |     1127 |        4 |      860 |  179.6 |   68.9 |     0.28 |     0.02 | Scd   | B    |       |           |             |   7.0 |   0.2 |     1.54 |     0.02 |  71.47 |   1.23 |  76.62 |   1.34 |  13.80 |   0.19 |  12.58 |   0.03 |  11.73 |    NaN |    NaN |  11.18 |
  NGC1495                 | PGC537051,PGC3670393,PGC014190,NGC1495,MCG-07-09-004,IRAS03567-4436,HIPASSJ0358-44,ESOLV2490340,ESO249-034,AGC023096,2MFGC03262,2MFGC03260,2MASXJ03582336-4428024,2MASXJ03582180-4427585                                                                                                                                                            |     14190 |  30.95 |  30.90 |    3.97301 |  -44.46700 |     1279 |        4 |     1280 |        5 |     1022 |  104.2 |   85.3 |     0.67 |     0.03 | Sc    |      |       |           |             |   5.1 |   0.5 |     1.35 |     0.03 |  97.07 |   1.58 |  97.40 |   1.59 |  14.49 |   0.15 |  12.43 |   0.06 |  12.18 |  -0.24 |   0.55 |  11.63 |
  ESO249-035              | RFGC0794,PGC014212,FGCE0363,ESOLV2490350,ESO249-035,AGC023099                                                                                                                                                                                                                                                                                       |     14212 |  30.30 |    NaN |    3.98224 |  -45.85922 |     1031 |        7 |     1031 |       10 |      770 |   98.2 |   90.0 |     0.91 |     0.03 | SBc   | B    |       |           |             |   5.9 |   0.5 |     1.20 |     0.03 |  45.00 |   0.73 |  45.00 |    NaN |    NaN |    NaN |    NaN |   0.04 |  14.68 |    NaN |    NaN |  15.15 |
  ESO249-036              | PGC521809,PGC014225,HIPASSJ0359-45,ESOLV2490360,ESO249-036                                                                                                                                                                                                                                                                                          |     14225 |  29.94 |    NaN |    3.98773 |  -45.87170 |      899 |        3 |      899 |        4 |      638 |    NaN |   42.0 |     0.10 |     0.03 | IB    | B    |       |           |             |  10.0 |   0.4 |     1.07 |     0.04 |  29.90 |   1.25 |  44.72 |   1.95 |  14.58 |   0.17 |    NaN |   0.04 |  15.07 |    NaN |    NaN |  14.84 |
  NGC1511                 | PGC014236,NGC1511,LGG107:[G93]002,IRAS03594-6746,IRAS03593-6746,HIPASSJ0359-67,ESOLV0550040,ESO055-004,AGC023129,2MFGC03271,2MASXJ03593747-6738062,2MASXJ03593698-6738033                                                                                                                                                                           |     14236 |  30.95 |  30.78 |    3.99399 |  -67.63658 |     1335 |        5 |     1329 |        5 |     1042 |  123.5 |   73.7 |     0.40 |     0.05 | Sab   |      |       |           |             |   1.8 |   1.7 |     1.56 |     0.03 | 127.66 |   1.59 | 133.03 |   1.71 |  13.29 |   0.17 |   9.75 |   0.27 |  11.16 |  -0.15 |   0.42 |  10.18 |
  NGC1511A                | PGC291513,PGC014255,NGC1511A,LGG107:[G93]003,IRAS04001-6756,ESOLV0550050,ESO055-005,AGC023138,2MASXJ04001850-6748243                                                                                                                                                                                                                                |     14255 |  30.95 |    NaN |    4.00515 |  -67.80682 |     1320 |       11 |     1323 |        8 |     1027 |  108.2 |   90.0 |     0.66 |     0.02 | SBab  | B    |       |           |             |   1.6 |   1.8 |     1.27 |     0.03 |  80.71 |  11.08 |  80.71 |    NaN |  14.44 |   0.23 |    NaN |   0.27 |  13.38 |    NaN |    NaN |  12.45 |
  ESO419-013              | PGC712447,PGC014271,MCG-05-10-007,HIPASSJ0400-30,ESOLV4190130,ESO419-013,6dFJ0400416-304952,2MFGC03286,2MASXJ04004160-3049516                                                                                                                                                                                                                       |     14271 |  31.39 |    NaN |    4.01156 |  -30.83101 |     1493 |        6 |     1492 |        7 |     1277 |    1.9 |   62.4 |     0.23 |     0.03 | S0-a  |      |       |           |             |  -1.0 |   0.5 |     1.17 |     0.03 |  33.74 |   1.86 |  38.08 |   2.13 |  15.92 |   0.18 |    NaN |   0.03 |  14.24 |    NaN |    NaN |  13.17 |
  NGC1511B                | RFGC0799,PGC293633,PGC014279,NGC1511B,FGCE0368,ESOLV0550060,ESO055-006,AGC023143                                                                                                                                                                                                                                                                    |     14279 |  31.18 |    NaN |    4.01519 |  -67.61150 |     1439 |        7 |     1439 |       10 |     1146 |   97.3 |   90.0 |     0.75 |     0.03 | SBcd  | B    |       |           |             |   7.0 |   0.6 |     1.14 |     0.04 |  26.00 |   0.42 |  26.00 |    NaN |    NaN |    NaN |    NaN |   0.25 |  13.69 |    NaN |    NaN |  13.84 |
  NGC1512                 | PGC014391,NGC1512,MCG-07-09-007,LGG108:[G93]003,IRAS04022-4329,HIPASSJ0403-43,ESOLV2500040,ESO250-004,AGC023162,2MASXJ04035428-4320558                                                                                                                                                                                                              |     14391 |  29.94 |  30.40 |    4.06508 |  -43.34879 |      898 |       12 |      899 |        3 |      643 |   63.1 |   68.3 |     0.32 |     0.04 | Sa    | B    | R     |           |             |   1.1 |   0.5 |     1.93 |     0.02 | 109.98 |   1.25 | 118.35 |   1.39 |  12.51 |   0.14 |  11.56 |   0.05 |  10.75 |   0.11 |   0.73 |   9.16 |
  NGC1515                 | PGC014397,NGC1515,IRAS04028-5414,HIPASSJ0404-54,ESOLV1560360,ESO156-036,2MASXJ04040271-5406002                                                                                                                                                                                                                                                      |     14397 |  30.60 |  31.13 |    4.06742 |  -54.10006 |     1170 |        8 |     1172 |        5 |      892 |   19.7 |   90.0 |     0.64 |     0.03 | SABb  | B    |       |           |             |   4.0 |   0.2 |     1.74 |     0.02 | 167.32 |   1.88 | 167.32 |    NaN |  14.73 |   0.13 |  11.80 |   0.06 |  10.87 |   0.17 |   0.71 |   9.71 |
  NGC1507                 | UGC02947,PGC014409,NGC1507,MRK1080,MCG+00-11-009,KPG097A,KIG0139,IRAS04019-0219,HIPASSJ0404-02,CGCG392-002,2MIG0494,2MASXJ04042714-0211210                                                                                                                                                                                                          |     14409 |  30.30 |  30.10 |    4.07422 |   -2.18805 |      866 |       11 |      863 |        3 |      772 |   12.3 |   90.0 |     0.68 |     0.03 | SBd   | B    |       | M         |             |   8.5 |   1.5 |     1.58 |     0.03 |  78.85 |   2.11 |  78.85 |    NaN |  13.76 |   0.07 |  12.55 |   0.72 |  10.87 |  -0.29 |   0.27 |    NaN |
  ESO550-005              | UGCA087,PGC014458,MCG-03-11-011,LGG109:[G93]002,HIPASSJ0405-17,ESOLV5500050,ESO550-005                                                                                                                                                                                                                                                              |     14458 |  32.02 |  31.71 |    4.10002 |  -17.77536 |     1886 |        3 |     1884 |        4 |     1720 |   59.8 |   90.0 |     0.70 |     0.04 | SBm   | B    |       |           |             |   8.8 |   0.8 |     1.31 |     0.03 |  63.87 |   0.82 |  63.87 |    NaN |  14.88 |   0.16 |    NaN |   0.08 |  13.42 |    NaN |    NaN |  13.55 |
  ESO483-008              | PGC014460,ESOLV4830080,ESO483-008,AGC023184                                                                                                                                                                                                                                                                                                         |     14460 |  31.45 |    NaN |    4.10071 |  -22.63156 |     1495 |        4 |     1495 |        5 |     1309 |   45.5 |   90.0 |     0.39 |     0.02 | SBm   | B    |       |           |             |   9.0 |   0.4 |     1.01 |     0.04 |  42.49 |   1.85 |  42.49 |    NaN |  16.71 |   0.26 |    NaN |   0.21 |  15.13 |    NaN |    NaN |  14.89 |
  NGC1518                 | PGC014475,NGC1518,MCG-04-10-013,IRAS04046-2118,HIPASSJ0406-21,ESOLV5500070,ESO550-007,AGC023188,6dFJ0406497-211022,2MASXJ04064970-2110214                                                                                                                                                                                                           |     14475 |  30.30 |  29.46 |    4.11381 |  -21.17265 |      932 |       14 |      922 |        3 |      752 |   29.9 |   90.0 |     0.42 |     0.04 | SBd   | B    |       |           |             |   8.2 |   0.8 |     1.54 |     0.02 |  65.26 |   1.07 |  65.26 |    NaN |  12.79 |   0.16 |  12.05 |   0.21 |  11.23 |  -0.37 |   0.33 |    NaN |
  IC2032                  | [KK98]040,PGC014481,KK040,IC2032,HIPASSJ0407-55,ESOLV1560420,ESO156-042                                                                                                                                                                                                                                                                             |     14481 |  30.40 |    NaN |    4.11772 |  -55.32432 |     1066 |        4 |     1067 |        6 |      786 |   75.2 |   90.0 |     0.43 |     0.03 | IAB   | B    |       |           |             |   9.9 |   0.6 |     1.05 |     0.04 |  43.24 |   1.89 |  43.24 |    NaN |  15.48 |   0.23 |    NaN |   0.05 |  14.08 |    NaN |    NaN |  13.80 |
  PGC014487               | UGCA088,PGC176903,PGC014487,MCG-03-11-012,LGG109:[G93]003,HIPASSJ0407-17                                                                                                                                                                                                                                                                            |     14487 |  31.97 |    NaN |    4.12011 |  -17.20520 |     1856 |        2 |     1856 |        3 |     1693 |   95.0 |   58.6 |     0.20 |     0.03 | SBd   | B    |       |           |             |   7.9 |   0.5 |     1.11 |     0.05 |  34.79 |   1.16 |  40.77 |   1.39 |  15.27 |   0.12 |    NaN |   0.11 |  14.45 |    NaN |    NaN |  12.97 |
  NGC1519                 | PGC887349,PGC014514,NGC1519,MCG-03-11-013,LGG109:[G93]004,IRAS04058-1719,ESOLV5500090,ESO550-009,AGC023201,6dFJ0408076-171134,2MFGC03377,2MASXJ04080759-1711344                                                                                                                                                                                     |     14514 |  31.92 |  31.30 |    4.13544 |  -17.19292 |     1829 |        5 |     1831 |        5 |     1666 |  106.7 |   74.2 |     0.44 |     0.03 | SBb   | B    | R     |           |             |   3.0 |   1.2 |     1.39 |     0.04 | 107.00 |   1.74 | 111.18 |   1.83 |  15.68 |   0.10 |  13.06 |   0.11 |  12.86 |  -0.12 |   0.51 |  12.00 |
  ESO359-022              | PGC176974,PGC014548,HIPASSJ0408-35,ESOLV3590220,ESO359-022                                                                                                                                                                                                                                                                                          |     14548 |  31.25 |    NaN |    4.14601 |  -35.38917 |     1429 |        3 |     1429 |        5 |     1197 |   18.0 |   90.0 |     0.57 |     0.03 | Sm    |      |       |           |             |   8.6 |   2.1 |     1.03 |     0.04 |  36.36 |   1.58 |  36.36 |    NaN |  16.39 |   0.17 |    NaN |   0.03 |  14.90 |    NaN |    NaN |  15.07 |
  NGC1533                 | PGC014582,NGC1533,IRAS04088-5614,HIPASSJ0409-56,ESOLV1570030,ESO157-003,DORADO_GROUP:[FS90]016,6dFJ0409518-560706,2MASXJ04095185-5607063                                                                                                                                                                                                            |     14582 |  29.52 |  31.43 |    4.16440 |  -56.11846 |      792 |        6 |      790 |        5 |      510 |  148.9 |   64.8 |     0.20 |     0.04 | E-S0  | B    |       |           |             |  -2.5 |   0.6 |     1.51 |     0.02 | 120.05 |   4.62 | 132.69 |   5.23 |  12.89 |   0.16 |    NaN |   0.07 |  11.71 |   0.46 |   0.94 |    NaN |
  ESO420-006              | UGCA089,PGC014590,LGG111:[G93]007,HIPASSJ0410-31,ESOLV4200060,ESO420-006,AGC023238                                                                                                                                                                                                                                                                  |     14590 |  31.18 |    NaN |    4.16710 |  -31.25862 |     1386 |        4 |     1386 |        5 |     1167 |  133.3 |   71.3 |     0.29 |     0.05 | IB    | B    |       |           |             |   9.5 |   0.6 |     1.13 |     0.07 |  43.23 |   2.39 |  45.63 |   2.55 |  15.60 |   0.15 |    NaN |   0.07 |  14.63 |    NaN |    NaN |    NaN |
  PGC014600               | RFGC0814,PGC014600,MCG-01-11-004,HIPASSJ0410-07,FGC0469,AGC440044                                                                                                                                                                                                                                                                                   |     14600 |  33.07 |  32.50 |    4.17584 |   -7.16856 |     2933 |        3 |     2933 |        4 |     2815 |   66.6 |   90.0 |     0.78 |     0.03 | Scd   |      |       |           |             |   6.8 |   0.6 |     1.29 |     0.03 |  85.86 |   2.95 |  85.86 |    NaN |  15.28 |   0.09 |    NaN |   0.45 |  13.13 |    NaN |    NaN |  12.67 |
  ESO420-009              | PGC014617,MCG-05-10-015,LGG111:[G93]005,ESOLV4200090,ESO420-009,6dFJ0411006-312428,2MASXJ04110059-3124281                                                                                                                                                                                                                                           |     14617 |  31.18 |    NaN |    4.18351 |  -31.40769 |     1368 |        4 |     1368 |        5 |     1149 |   28.6 |   41.7 |     0.12 |     0.03 | SBc   | B    |       |           |             |   5.0 |   0.4 |     1.23 |     0.03 |  60.58 |   2.76 |  91.11 |   4.28 |  15.53 |   0.09 |    NaN |   0.10 |  13.41 |    NaN |    NaN |    NaN |
  PGC014626               | PGC014626,MCG-03-11-018,LGG109:[G93]005,AGC440053,6dFJ0411195-161348                                                                                                                                                                                                                                                                                |     14626 |  32.02 |  32.96 |    4.18876 |  -16.22986 |     1878 |        4 |     1878 |        5 |     1719 |  103.0 |   90.0 |     0.62 |     0.03 | SBm   | B    |       |           |             |   8.8 |   1.0 |     1.23 |     0.04 |  82.32 |   4.05 |  82.32 |    NaN |  16.01 |   0.27 |    NaN |   0.14 |  13.77 |    NaN |    NaN |  13.75 |
  NGC1532                 | PGC014638,NGC1532,MCG-05-11-002,LGG111:[G93]003,IRAS04102-3259,IRAS04101-3300,HIPASSJ0411-32,ESOLV3590270,ESO359-027,AGC023264,2MASXJ04120433-3252271                                                                                                                                                                                               |     14638 |  30.78 |  31.35 |    4.20120 |  -32.87419 |     1201 |        5 |     1199 |        5 |      977 |   33.1 |   84.2 |     0.56 |     0.04 | SBb   | B    |       |           |             |   3.1 |   0.8 |     2.05 |     0.02 | 244.74 |   3.79 | 246.01 |   3.85 |  12.06 |   0.11 |  11.45 |   0.07 |   9.82 |   0.04 |   0.67 |   8.68 |
  ESO483-013              | PGC014658,MCG-04-11-001,HIPASSJ0412-23,ESOLV4830130,ESO483-013,6dFJ0412411-230932,2MASXJ04124111-2309319,2DFGRSS833Z148                                                                                                                                                                                                                             |     14658 |  30.18 |    NaN |    4.21142 |  -23.15892 |      897 |        5 |      897 |        7 |      709 |  139.0 |   78.0 |     0.27 |     0.03 | E-S0  |      |       |           |             |  -2.6 |   1.6 |     1.23 |     0.03 |  31.06 |   1.60 |  31.76 |   1.65 |  16.22 |   0.17 |    NaN |   0.23 |  13.92 |    NaN |    NaN |  12.44 |
  ESO359-029              | PGC014664,LGG111:[G93]009,ESOLV3590290,ESO359-029                                                                                                                                                                                                                                                                                                   |     14664 |  29.94 |    NaN |    4.21404 |  -33.00333 |      873 |       10 |      874 |        4 |      649 |   21.2 |   69.3 |     0.28 |     0.03 | IB    | B    |       |           |             |   9.9 |   0.5 |     1.18 |     0.04 |  51.55 |   2.02 |  55.10 |   2.18 |  16.26 |   0.13 |    NaN |   0.08 |  14.23 |    NaN |    NaN |    NaN |
  IC2040                  | PGC014671,PGC014670,MCG-05-11-004,LGG111:[G93]004,IRAS04110-3240,IC2040,ESOLV3590300,ESO359-030,2MASXJ04125976-3233116                                                                                                                                                                                                                              |     14670 |  31.11 |    NaN |    4.21660 |  -32.55326 |     1330 |       13 |     1324 |        6 |     1107 |   68.4 |   72.8 |     0.31 |     0.04 | S0-a  |      |       |           |             |  -0.8 |   3.0 |     1.13 |     0.05 |  44.62 |   2.13 |  46.71 |   2.25 |  16.26 |   0.10 |  13.21 |   0.09 |  13.58 |    NaN |    NaN |  12.07 |
  ESO359-031              | PGC014674,MCG-06-10-001,LGG111:[G93]010,ESOLV3590310,ESO359-031                                                                                                                                                                                                                                                                                     |     14674 |  31.32 |    NaN |    4.21938 |  -34.42644 |     1481 |       15 |     1485 |        5 |     1252 |    NaN |   25.5 |     0.04 |     0.02 | Sd    | B    | R     |           |             |   8.0 |   0.4 |     1.03 |     0.04 |  15.95 |   0.86 |  37.07 |   2.16 |  16.16 |   0.19 |    NaN |   0.05 |  14.45 |    NaN |    NaN |  14.24 |
  NGC1546                 | PGC014723,NGC1546,LGG112:[G93]002,IRAS04135-5611,IRAS04134-5611,HIPASSJ0415-56,ESOLV1570120,ESO157-012,DORADO_GROUP:[FS90]031,6dFJ0414364-560340,2MASXJ04143654-5603389                                                                                                                                                                             |     14723 |  30.87 |    NaN |    4.24346 |  -56.06092 |     1280 |        7 |     1281 |        8 |      998 |  142.9 |   53.5 |     0.17 |     0.05 | S0-a  |      |       |           |             |  -0.4 |   1.7 |     1.57 |     0.03 | 130.20 |   6.30 | 161.96 |   8.10 |  15.38 |   0.23 |  10.71 |   0.06 |  11.95 |   0.31 |   0.82 |  10.47 |
  PGC014768               | PGC014768,MCG-03-11-019,LGG109:[G93]006,HIPASSJ0416-16,AGC440077,2MASXJ04161254-1645024                                                                                                                                                                                                                                                             |     14768 |  32.12 |  32.19 |    4.27015 |  -16.75067 |     1954 |        2 |     1954 |        3 |     1792 |  166.2 |   90.0 |     0.46 |     0.03 | SBd   | B    |       |           |             |   7.6 |   0.7 |     1.23 |     0.04 |  74.35 |   1.84 |  74.35 |    NaN |  15.07 |   0.07 |    NaN |   0.15 |  13.44 |    NaN |    NaN |  13.04 |
  IC2056                  | PGC365236,PGC014773,IRAS04155-6019,IC2056,ESOLV1180160,ESO118-016,AGC023336,2MASXJ04162454-6012246                                                                                                                                                                                                                                                  |     14773 |  30.50 |    NaN |    4.27348 |  -60.20683 |     1132 |        4 |     1133 |        8 |      845 |   14.1 |   30.5 |     0.06 |     0.02 | Sbc   | B    | R     |           |             |   3.8 |   1.7 |     1.27 |     0.02 |  67.55 |   1.51 | 133.24 |   3.30 |  15.45 |   0.23 |  11.09 |   0.08 |  12.24 |    NaN |   0.52 |  10.80 |
  NGC1559                 | PGC014814,NGC1559,IRAS04170-6254,IRAS04170-6253,HIPASSJ0417-62,ESOLV0840100,ESO084-010,AGC023349,2MASXJ04173578-6247012                                                                                                                                                                                                                             |     14814 |  30.87 |  31.02 |    4.29327 |  -62.78367 |     1295 |        3 |     1295 |        4 |     1005 |   62.8 |   60.2 |     0.28 |     0.04 | SBc   | B    |       |           |             |   5.9 |   0.3 |     1.62 |     0.02 | 116.04 |   1.44 | 133.73 |   1.73 |  13.48 |   0.13 |    NaN |   0.13 |  10.38 |  -0.15 |   0.26 |   9.59 |
  NGC1556                 | PGC014818,NGC1556,IRAS04163-5017,HIPASSJ0417-50,ESOLV2020040,ESO202-004,AGC023340,2MASXJ04174483-5009520                                                                                                                                                                                                                                            |     14818 |  30.18 |  31.13 |    4.29579 |  -50.16444 |      985 |        4 |      985 |        6 |      714 |  167.1 |   73.7 |     0.42 |     0.04 | Sb    |      |       |           |             |   2.6 |   1.8 |     1.19 |     0.03 |  70.20 |   2.52 |  73.12 |   2.65 |  14.97 |   0.18 |  12.95 |   0.09 |  12.82 |  -0.35 |   0.30 |  12.25 |
  IC2058                  | RFGC0824,PGC404688,PGC014824,LGG114:[G93]002,IRAS04168-5603,IC2058,HIPASSJ0417-55,FGCE0387,ESOLV1570180,ESO157-018,DORADO_GROUP:[FS90]039,AGC023346,6dFJ0417544-555558,2MFGC03483,2MASXJ04175435-5555583                                                                                                                                            |     14824 |  31.03 |  31.28 |    4.29844 |  -55.93281 |     1378 |        4 |     1379 |        5 |     1097 |   17.9 |   90.0 |     0.85 |     0.02 | Scd   |      |       |           |             |   6.5 |   0.9 |     1.53 |     0.02 |  89.39 |   1.47 |  89.39 |    NaN |  14.58 |   0.14 |  13.55 |   0.07 |  12.16 |    NaN |    NaN |  12.41 |
  ESO550-024              | UGCA090,PGC014936,MCG-04-11-010,IRAS04190-2157,HIPASSJ0421-21,ESOLV5500240,ESO550-024,AGC023375,6dFJ0421137-215045,2MASXJ04211363-2150460                                                                                                                                                                                                           |     14936 |  30.18 |  30.26 |    4.35381 |  -21.84588 |      903 |        4 |      899 |        4 |      719 |  129.3 |   69.6 |     0.42 |     0.02 | SBcd  | B    |       |           |             |   6.7 |   0.8 |     1.67 |     0.02 |  77.01 |   1.22 |  82.16 |   1.31 |  13.46 |   0.13 |    NaN |   0.10 |  11.81 |  -0.24 |   0.50 |  11.25 |
  NGC1596                 | PGC075168,PGC015153,NGC1596,LGG114:[G93]005,ESOLV1570310,ESO157-031,DORADO_GROUP:[FS90]076,2MFGC03625,2MASXJ04273810-5501401                                                                                                                                                                                                                        |     15153 |  31.32 |  30.90 |    4.46058 |  -55.02767 |     1511 |        5 |     1510 |        7 |     1231 |   19.2 |   90.0 |     0.58 |     0.03 | S0    |      |       |           |             |  -2.0 |   0.5 |     1.59 |     0.03 |  98.32 |  11.24 |  98.32 |    NaN |  14.71 |   0.25 |    NaN |   0.04 |  11.94 |   0.40 |   0.86 |   9.73 |
  NGC1602                 | PGC015168,NGC1602,LGG114:[G93]006,IRAS04267-5510,HIPASSJ0427-55,ESOLV1570320,ESO157-032,DORADO_GROUP:[FS90]078,2MASXJ04275497-5503282                                                                                                                                                                                                               |     15168 |  31.39 |    NaN |    4.46527 |  -55.05783 |     1572 |       19 |     1568 |        5 |     1292 |   88.5 |   68.8 |     0.28 |     0.03 | SBm   | B    |       |           |             |   9.5 |   0.6 |     1.27 |     0.04 |  40.95 |   2.26 |  43.92 |   2.45 |  13.63 |   0.23 |  13.02 |   0.04 |  12.86 |  -0.29 |   0.27 |    NaN |
  PGC015214               | PGC015214,MCG-02-12-024,HIPASSJ0428-12,ABELL0496:[DFL99]007,6dFJ0428452-123035                                                                                                                                                                                                                                                                      |     15214 |  31.92 |    NaN |    4.47922 |  -12.50998 |     1800 |        4 |     1800 |        5 |     1656 |   25.5 |   66.8 |     0.26 |     0.03 | SBm   | B    |       |           |             |   9.0 |   0.5 |     1.09 |     0.05 |  17.96 |   0.76 |  19.54 |   0.83 |  15.54 |   0.19 |    NaN |   0.16 |  14.71 |    NaN |    NaN |  13.99 |
  NGC1592                 | VV647,PGC015292,NGC1592,MCG-05-11-011,HIPASSJ0429-27,ESOLV4210020,ESO421-002:,6dFJ0429409-272431,2MASXJ04294085-2724313                                                                                                                                                                                                                             |     15292 |  30.18 |    NaN |    4.49469 |  -27.40865 |      942 |        5 |      943 |        5 |      736 |   96.9 |   62.5 |     0.23 |     0.03 | I     |      |       | M         |             |  10.0 |   2.6 |     1.01 |     0.04 |  30.80 |   1.37 |  34.72 |   1.57 |  15.64 |   0.15 |    NaN |   0.16 |  13.84 |    NaN |    NaN |  12.81 |
